,pokemon,id,form,rank,move,raito
165,ヤドン,79,0,6,でんじは,20.3
166,ヤドン,79,0,7,サイコフィールド,15.3
167,ヤドン,79,0,8,ひやみず,11.9
168,ヤドン,79,0,9,かなしばり,10.0
169,ヤドン,79,0,10,ドわすれ,8.0
170,ヤドラン,80,0,1,なまける,59.4
171,ヤドラン,80,0,2,なみのり,39.2
172,ヤドラン,80,0,3,てっぺき,37.4
173,ヤドラン,80,0,4,サイコキネシス,31.9
174,ヤドラン,80,0,5,れいとうビーム,29.7
175,ヤドラン,80,0,6,ボディプレス,29.5
176,ヤドラン,80,0,7,アシストパワー,26.9
177,ヤドラン,80,0,8,かえんほうしゃ,18.5
178,ヤドラン,80,0,9,あくび,16.7
179,ヤドラン,80,0,10,トリックルーム,10.3
180,コイル,81,0,1,ラスターカノン,52.8
181,コイル,81,0,2,てっていこうせん,49.0
182,コイル,81,0,3,でんじは,36.1
183,コイル,81,0,4,ひかりのかべ,34.3
184,コイル,81,0,5,リフレクター,26.8
185,コイル,81,0,6,ボルトチェンジ,26.3
186,コイル,81,0,7,ほうでん,26.3
187,コイル,81,0,8,かみなり,21.6
188,コイル,81,0,9,でんじほう,14.7
189,コイル,81,0,10,ジャイロボール,13.7
190,レアコイル,82,0,1,ラスターカノン,83.3
191,レアコイル,82,0,2,ボルトチェンジ,63.0
192,レアコイル,82,0,3,１０まんボルト,52.0
193,レアコイル,82,0,4,テラバースト,42.3
194,レアコイル,82,0,5,でんじは,37.1
195,レアコイル,82,0,6,てっていこうせん,28.3
196,レアコイル,82,0,7,ほうでん,20.8
197,レアコイル,82,0,8,エレキフィールド,12.9
198,レアコイル,82,0,9,ひかりのかべ,12.2
199,レアコイル,82,0,10,リフレクター,11.8
200,ベトベター,88,0,1,ちいさくなる,96.6
201,ベトベター,88,0,2,どくどく,80.9
202,ベトベター,88,0,3,みがわり,65.2
203,ベトベター,88,0,4,ほのおのパンチ,49.4
204,ベトベター,88,0,5,とける,22.5
205,ベトベター,88,0,6,どくづき,15.7
206,ベトベター,88,0,7,れいとうパンチ,15.7
207,ベトベター,88,0,8,おきみやげ,15.7
208,ベトベター,88,0,9,まもる,12.4
209,ベトベター,88,0,10,どろかけ,6.7
210,ベトベトン,89,0,1,ドレインパンチ,55.6
211,ベトベトン,89,0,2,ちいさくなる,50.6
212,ベトベトン,89,0,3,かげうち,39.3
213,ベトベトン,89,0,4,どくどく,36.8
214,ベトベトン,89,0,5,ほのおのパンチ,31.7
215,ベトベトン,89,0,6,ダストシュート,27.6
216,ベトベトン,89,0,7,みがわり,23.0
217,ベトベトン,89,0,8,どくづき,21.1
218,ベトベトン,89,0,9,のろい,19.0
219,ベトベトン,89,0,10,れいとうパンチ,13.4
220,シェルダー,90,0,1,からをやぶる,100.0
221,シェルダー,90,0,2,ロックブラスト,90.9
222,シェルダー,90,0,3,まきびし,72.7
223,シェルダー,90,0,4,まもる,72.7
224,シェルダー,90,0,5,こおりのつぶて,18.2
225,シェルダー,90,0,6,テラバースト,9.1
226,シェルダー,90,0,7,アクアブレイク,9.1
227,シェルダー,90,0,8,てっぺき,9.1
228,シェルダー,90,0,9,アイススピナー,9.1
229,シェルダー,90,0,10,れいとうビーム,9.1
230,パルシェン,91,0,1,つららばり,98.3
231,パルシェン,91,0,2,からをやぶる,93.0
232,パルシェン,91,0,3,ロックブラスト,72.6
233,パルシェン,91,0,4,こおりのつぶて,54.8
234,パルシェン,91,0,5,ドリルライナー,24.6
235,パルシェン,91,0,6,テラバースト,23.2
236,パルシェン,91,0,7,アクアブレイク,8.4
237,パルシェン,91,0,8,ハイドロポンプ,4.8
238,パルシェン,91,0,9,なみのり,4.0
239,パルシェン,91,0,10,シェルブレード,3.1
240,ゴース,92,0,1,のろい,83.3
241,ゴース,92,0,2,シャドーボール,77.2
242,ゴース,92,0,3,みちづれ,73.7
243,ゴース,92,0,4,ヘドロばくだん,45.6
244,ゴース,92,0,5,トリックルーム,27.2
245,ゴース,92,0,6,さいみんじゅつ,19.3
246,ゴース,92,0,7,たたりめ,16.7
247,ゴース,92,0,8,ふいうち,13.2
248,ゴース,92,0,9,あやしいひかり,10.5
249,ゴース,92,0,10,しっぺがえし,7.9
250,ゴースト,93,0,1,みちづれ,78.7
251,ゴースト,93,0,2,シャドーボール,49.2
252,ゴースト,93,0,3,アンコール,24.9
253,ゴースト,93,0,4,ヘドロばくだん,20.3
254,ゴースト,93,0,5,トリック,18.3
255,ゴースト,93,0,6,おにび,16.4
256,ゴースト,93,0,7,たたりめ,15.2
257,ゴースト,93,0,8,マジカルシャイン,14.2
258,ゴースト,93,0,9,こごえるかぜ,14.0
259,ゴースト,93,0,10,１０まんボルト,13.9
260,ゲンガー,94,0,1,シャドーボール,75.8
261,ゲンガー,94,0,2,みちづれ,71.5
262,ゲンガー,94,0,3,ヘドロばくだん,63.7
263,ゲンガー,94,0,4,アンコール,44.5
264,ゲンガー,94,0,5,こごえるかぜ,21.1
265,ゲンガー,94,0,6,さいみんじゅつ,18.9
266,ゲンガー,94,0,7,たたりめ,18.4
267,ゲンガー,94,0,8,きあいだま,15.2
268,ゲンガー,94,0,9,マジカルシャイン,12.2
269,ゲンガー,94,0,10,でんじは,9.0
270,スリープ,96,0,1,かなしばり,61.9
271,スリープ,96,0,2,でんじは,54.0
272,スリープ,96,0,3,パワーシェア,52.4
273,スリープ,96,0,4,サイコキネシス,39.7
274,スリープ,96,0,5,トリックルーム,19.0
275,スリープ,96,0,6,ちょうはつ,15.9
276,スリープ,96,0,7,ドレインキッス,15.9
277,スリープ,96,0,8,めいそう,15.9
278,スリープ,96,0,9,アシストパワー,15.9
279,スリープ,96,0,10,リフレクター,11.1
280,スリーパー,97,0,1,さいみんじゅつ,51.3
281,スリーパー,97,0,2,バトンタッチ,36.1
282,スリーパー,97,0,3,めいそう,33.8
283,スリーパー,97,0,4,サイコキネシス,31.5
284,スリーパー,97,0,5,イカサマ,28.2
285,スリーパー,97,0,6,すりかえ,20.1
286,スリーパー,97,0,7,ドレインキッス,18.4
287,スリーパー,97,0,8,わるだくみ,16.8
288,スリーパー,97,0,9,アンコール,13.7
289,スリーパー,97,0,10,アシストパワー,10.7
290,ビリリダマ,100,0,1,たいあたり,68.3
291,ビリリダマ,100,0,2,じゅうでん,68.3
292,ビリリダマ,100,0,3,ひかりのかべ,22.0
293,ビリリダマ,100,0,4,ころがる,17.1
294,ビリリダマ,100,0,5,あまごい,17.1
295,ビリリダマ,100,0,6,かみなり,17.1
296,ビリリダマ,100,0,7,エレキボール,14.6
297,ビリリダマ,100,0,8,ミラーコート,9.8
298,ビリリダマ,100,0,9,チャージビーム,9.8
299,ビリリダマ,100,0,10,じばく,9.8
300,マルマイン,101,0,1,ボルトチェンジ,55.6
301,マルマイン,101,0,2,ちょうはつ,52.3
302,マルマイン,101,0,3,テラバースト,47.5
303,マルマイン,101,0,4,イカサマ,38.6
304,マルマイン,101,0,5,でんじは,34.6
305,マルマイン,101,0,6,１０まんボルト,32.7
306,マルマイン,101,0,7,ミラーコート,25.2
307,マルマイン,101,0,8,ひかりのかべ,19.6
308,マルマイン,101,0,9,ほうでん,14.6
309,マルマイン,101,0,10,エレキボール,14.3
310,ラッキー,113,0,1,タマゴうみ,98.0
311,ラッキー,113,0,2,ちきゅうなげ,72.9
312,ラッキー,113,0,3,ステルスロック,70.6
313,ラッキー,113,0,4,めいそう,36.9
314,ラッキー,113,0,5,でんじは,28.7
315,ラッキー,113,0,6,あまえる,22.1
316,ラッキー,113,0,7,シャドーボール,18.8
317,ラッキー,113,0,8,うたう,17.0
318,ラッキー,113,0,9,かえんほうしゃ,4.0
319,ラッキー,113,0,10,いやしのねがい,3.6
320,ストライク,123,0,1,つばめがえし,76.0
321,ストライク,123,0,2,つるぎのまい,75.5
322,ストライク,123,0,3,くさわけ,30.7
323,ストライク,123,0,4,インファイト,26.4
324,ストライク,123,0,5,でんこうせっか,25.4
325,ストライク,123,0,6,とんぼがえり,22.7
326,ストライク,123,0,7,テラバースト,19.3
327,ストライク,123,0,8,とびつく,19.0
328,ストライク,123,0,9,どろぼう,16.3
329,ストライク,123,0,10,バトンタッチ,15.9
330,ケンタロス,128,1,1,レイジングブル,63.7
331,ケンタロス,128,1,2,ビルドアップ,46.3
332,ケンタロス,128,1,3,じしん,44.7
333,ケンタロス,128,1,4,アイアンヘッド,41.6
334,ケンタロス,128,1,5,インファイト,32.6
335,ケンタロス,128,1,6,テラバースト,26.4
336,ケンタロス,128,1,7,くさわけ,24.7
337,ケンタロス,128,1,8,しねんのずつき,17.7
338,ケンタロス,128,1,9,ボディプレス,13.7
339,ケンタロス,128,1,10,ワイルドボルト,11.8
340,ケンタロス,128,2,1,インファイト,90.1
341,ケンタロス,128,2,2,レイジングブル,89.9
342,ケンタロス,128,2,3,じしん,54.1
343,ケンタロス,128,2,4,おにび,52.1
344,ケンタロス,128,2,5,テラバースト,19.7
345,ケンタロス,128,2,6,フレアドライブ,14.9
346,ケンタロス,128,2,7,ニトロチャージ,13.3
347,ケンタロス,128,2,8,がんせきふうじ,10.0
348,ケンタロス,128,2,9,ビルドアップ,9.9
349,ケンタロス,128,2,10,ストーンエッジ,7.8
350,ケンタロス,128,3,1,アクアジェット,81.3
351,ケンタロス,128,3,2,レイジングブル,78.0
352,ケンタロス,128,3,3,インファイト,66.4
353,ケンタロス,128,3,4,ビルドアップ,36.7
354,ケンタロス,128,3,5,ボディプレス,28.9
355,ケンタロス,128,3,6,ウェーブタックル,23.4
356,ケンタロス,128,3,7,テラバースト,22.8
357,ケンタロス,128,3,8,じしん,18.0
358,ケンタロス,128,3,9,ワイルドボルト,8.0
359,ケンタロス,128,3,10,アイアンヘッド,7.0
360,コイキング,129,0,1,はねる,94.3
361,コイキング,129,0,2,たいあたり,37.7
362,コイキング,129,0,3,じたばた,30.0
363,ギャラドス,130,0,1,たきのぼり,77.7
364,ギャラドス,130,0,2,りゅうのまい,64.8
365,ギャラドス,130,0,3,じしん,58.7
366,ギャラドス,130,0,4,ちょうはつ,54.3
367,ギャラドス,130,0,5,こおりのキバ,34.8
368,ギャラドス,130,0,6,テラバースト,27.4
369,ギャラドス,130,0,7,でんじは,19.7
370,ギャラドス,130,0,8,アクアテール,14.1
371,ギャラドス,130,0,9,ゆきなだれ,9.1
372,ギャラドス,130,0,10,アイアンヘッド,9.0
373,メタモン,132,0,1,へんしん,100.0
374,イーブイ,133,0,1,でんこうせっか,69.4
375,イーブイ,133,0,2,じたばた,68.1
376,イーブイ,133,0,3,あくび,55.8
377,イーブイ,133,0,4,こらえる,29.0
378,イーブイ,133,0,5,まねっこ,26.3
379,イーブイ,133,0,6,つぶらなひとみ,18.0
380,イーブイ,133,0,7,かみつく,13.4
381,イーブイ,133,0,8,みがわり,13.3
382,イーブイ,133,0,9,まもる,9.9
383,イーブイ,133,0,10,とっておき,9.0
384,シャワーズ,134,0,1,れいとうビーム,66.2
385,シャワーズ,134,0,2,なみのり,66.2
386,シャワーズ,134,0,3,テラバースト,42.5
387,シャワーズ,134,0,4,とける,33.8
388,シャワーズ,134,0,5,めいそう,31.4
389,シャワーズ,134,0,6,あくび,28.3
390,シャワーズ,134,0,7,シャドーボール,23.6
391,シャワーズ,134,0,8,ハイドロポンプ,21.0
392,シャワーズ,134,0,9,バトンタッチ,15.6
393,シャワーズ,134,0,10,まもる,13.2
394,サンダース,135,0,1,テラバースト,75.3
395,サンダース,135,0,2,１０まんボルト,70.3
396,サンダース,135,0,3,ボルトチェンジ,68.7
397,サンダース,135,0,4,シャドーボール,59.0
398,サンダース,135,0,5,でんじは,22.5
399,サンダース,135,0,6,まもる,17.3
400,サンダース,135,0,7,めいそう,11.9
401,サンダース,135,0,8,あくび,9.3
402,サンダース,135,0,9,みがわり,9.1
403,サンダース,135,0,10,かみなり,8.0
404,ブースター,136,0,1,フレアドライブ,94.1
405,ブースター,136,0,2,でんこうせっか,54.5
406,ブースター,136,0,3,からげんき,38.8
407,ブースター,136,0,4,くさわけ,35.4
408,ブースター,136,0,5,テラバースト,33.4
409,ブースター,136,0,6,おにび,32.1
410,ブースター,136,0,7,まもる,20.4
411,ブースター,136,0,8,ねがいごと,15.5
412,ブースター,136,0,9,まねっこ,10.2
413,ブースター,136,0,10,かみつく,9.0
414,ミニリュウ,147,0,1,ドラゴンダイブ,87.5
415,ミニリュウ,147,0,2,しんぴのまもり,75.0
416,ミニリュウ,147,0,3,あまごい,75.0
417,ミニリュウ,147,0,4,りゅうのまい,68.8
418,ミニリュウ,147,0,5,アクアテール,18.8
419,ミニリュウ,147,0,6,こうそくいどう,12.5
420,ミニリュウ,147,0,7,たたきつける,12.5
421,ミニリュウ,147,0,8,にらみつける,12.5
422,ミニリュウ,147,0,9,まきつく,12.5
423,ミニリュウ,147,0,10,しんそく,12.5
424,ハクリュー,148,0,1,ねむる,87.8
425,ハクリュー,148,0,2,でんじは,51.3
426,ハクリュー,148,0,3,ほのおのうず,50.0
427,ハクリュー,148,0,4,ドラゴンテール,42.4
428,ハクリュー,148,0,5,ひやみず,26.9
429,ハクリュー,148,0,6,ひかりのかべ,18.2
430,ハクリュー,148,0,7,ねごと,16.4
431,ハクリュー,148,0,8,りゅうのまい,13.5
432,ハクリュー,148,0,9,まきつく,11.6
433,ハクリュー,148,0,10,かみなり,9.3
434,カイリュー,149,0,1,しんそく,81.2
435,カイリュー,149,0,2,じしん,71.6
436,カイリュー,149,0,3,りゅうのまい,48.9
437,カイリュー,149,0,4,はねやすめ,43.1
438,カイリュー,149,0,5,げきりん,38.9
439,カイリュー,149,0,6,テラバースト,23.8
440,カイリュー,149,0,7,ほのおのパンチ,21.9
441,カイリュー,149,0,8,アンコール,16.4
442,カイリュー,149,0,9,アイアンヘッド,8.6
443,カイリュー,149,0,10,アクアジェット,7.5
444,ピチュー,172,0,1,ほっぺすりすり,83.8
445,ピチュー,172,0,2,アンコール,81.8
446,ピチュー,172,0,3,ひかりのかべ,81.8
447,ピチュー,172,0,4,あまえる,77.3
448,ピチュー,172,0,5,しっぽをふる,12.3
449,ピチュー,172,0,6,でんきショック,12.3
450,ピチュー,172,0,7,なかよくする,9.5
451,ピチュー,172,0,8,てんしのキッス,6.4
452,ピチュー,172,0,9,ねこだまし,4.8
453,ピチュー,172,0,10,リフレクター,2.8
454,ププリン,174,0,1,あなをほる,66.7
455,ププリン,174,0,2,アンコール,66.7
456,ププリン,174,0,3,こらえる,66.7
457,ププリン,174,0,4,ほろびのうた,66.7
458,ププリン,174,0,5,てんしのキッス,33.3
459,ププリン,174,0,6,まねっこ,28.6
460,ププリン,174,0,7,まるくなる,28.6
461,ププリン,174,0,8,うたう,28.6
462,ププリン,174,0,9,こごえるかぜ,4.8
463,ププリン,174,0,10,チャームボイス,4.8
464,メリープ,179,0,1,でんじは,92.3
465,メリープ,179,0,2,たいあたり,56.4
466,メリープ,179,0,3,でんきショック,56.4
467,メリープ,179,0,4,なきごえ,56.4
468,メリープ,179,0,5,ボルトチェンジ,35.9
469,メリープ,179,0,6,ひかりのかべ,35.9
470,メリープ,179,0,7,リフレクター,35.9
471,メリープ,179,0,8,パワージェム,7.7
472,メリープ,179,0,9,マジカルシャイン,7.7
473,メリープ,179,0,10,ほうでん,7.7
474,モココ,180,0,1,でんじは,67.2
475,モココ,180,0,2,コットンガード,63.8
476,モココ,180,0,3,マジカルシャイン,46.6
477,モココ,180,0,4,ボルトチェンジ,37.9
478,モココ,180,0,5,ひかりのかべ,31.0
479,モココ,180,0,6,リフレクター,31.0
480,モココ,180,0,7,ねむる,25.9
481,モココ,180,0,8,チャージビーム,24.1
482,モココ,180,0,9,ねごと,22.4
483,モココ,180,0,10,ほうでん,15.5
484,デンリュウ,181,0,1,マジカルシャイン,72.2
485,デンリュウ,181,0,2,１０まんボルト,55.1
486,デンリュウ,181,0,3,コットンガード,52.2
487,デンリュウ,181,0,4,ねむる,30.4
488,デンリュウ,181,0,5,パワージェム,27.9
489,デンリュウ,181,0,6,テラバースト,27.6
490,デンリュウ,181,0,7,ほうでん,23.6
491,デンリュウ,181,0,8,ボルトチェンジ,20.3
492,デンリュウ,181,0,9,きあいだま,20.1
493,デンリュウ,181,0,10,でんじは,9.0
494,マリル,183,0,1,ほろびのうた,76.6
495,マリル,183,0,2,ひやみず,61.0
496,マリル,183,0,3,アクアリング,50.6
497,マリル,183,0,4,とびはねる,40.3
498,マリル,183,0,5,アンコール,27.3
499,マリル,183,0,6,まもる,26.0
500,マリル,183,0,7,じゃれつく,19.5
501,マリル,183,0,8,アクアジェット,19.5
502,マリル,183,0,9,あなをほる,11.7
503,マリル,183,0,10,ひかりのかべ,10.4
504,マリルリ,184,0,1,じゃれつく,97.2
505,マリルリ,184,0,2,アクアジェット,95.3
506,マリルリ,184,0,3,アクアブレイク,83.2
507,マリルリ,184,0,4,ばかぢから,50.6
508,マリルリ,184,0,5,はらだいこ,21.0
509,マリルリ,184,0,6,テラバースト,16.8
510,マリルリ,184,0,7,アイススピナー,9.3
511,マリルリ,184,0,8,かわらわり,6.1
512,マリルリ,184,0,9,アンコール,3.5
513,マリルリ,184,0,10,アクアテール,3.2
514,ウソッキー,185,0,1,ふいうち,91.6
515,ウソッキー,185,0,2,もろはのずつき,51.9
516,ウソッキー,185,0,3,カウンター,51.4
517,ウソッキー,185,0,4,ウッドハンマー,44.2
518,ウソッキー,185,0,5,ステルスロック,16.9
519,ウソッキー,185,0,6,アームハンマー,15.7
520,ウソッキー,185,0,7,ストーンエッジ,14.6
521,ウソッキー,185,0,8,じしん,12.5
522,ウソッキー,185,0,9,じたばた,11.5
523,ウソッキー,185,0,10,れいとうパンチ,9.0
524,ハネッコ,187,0,1,おきみやげ,57.7
525,ハネッコ,187,0,2,ちからをすいとる,44.9
526,ハネッコ,187,0,3,コットンガード,30.8
527,ハネッコ,187,0,4,おいかぜ,29.5
528,ハネッコ,187,0,5,やどりぎのタネ,26.9
529,ハネッコ,187,0,6,アンコール,25.6
530,ハネッコ,187,0,7,ねむりごな,20.5
531,ハネッコ,187,0,8,いかりのこな,19.2
532,ハネッコ,187,0,9,にほんばれ,15.4
533,ハネッコ,187,0,10,バトンタッチ,14.1
534,ポポッコ,188,0,1,コットンガード,95.1
535,ポポッコ,188,0,2,ちからをすいとる,93.9
536,ポポッコ,188,0,3,やどりぎのタネ,88.3
537,ポポッコ,188,0,4,バトンタッチ,85.5
538,ポポッコ,188,0,5,ギガドレイン,6.3
539,ポポッコ,188,0,6,つるぎのまい,4.8
540,ポポッコ,188,0,7,ねむりごな,2.8
541,ポポッコ,188,0,8,とんぼがえり,2.8
542,ポポッコ,188,0,9,くさわけ,2.1
543,ポポッコ,188,0,10,アンコール,2.1
544,ワタッコ,189,0,1,ちからをすいとる,69.6
545,ワタッコ,189,0,2,やどりぎのタネ,63.3
546,ワタッコ,189,0,3,コットンガード,49.8
547,ワタッコ,189,0,4,バトンタッチ,40.6
548,ワタッコ,189,0,5,アンコール,32.5
549,ワタッコ,189,0,6,みがわり,21.8
550,ワタッコ,189,0,7,ねむりごな,17.5
551,ワタッコ,189,0,8,おきみやげ,13.1
552,ワタッコ,189,0,9,とんぼがえり,9.8
553,ワタッコ,189,0,10,おいかぜ,8.2
554,ヒマナッツ,191,0,1,がむしゃら,79.3
555,ヒマナッツ,191,0,2,アンコール,54.3
556,ヒマナッツ,191,0,3,にほんばれ,53.0
557,ヒマナッツ,191,0,4,ソーラービーム,36.0
558,ヒマナッツ,191,0,5,ギガドレイン,28.7
559,ヒマナッツ,191,0,6,ひかりのかべ,19.5
560,ヒマナッツ,191,0,7,メガドレイン,19.5
561,ヒマナッツ,191,0,8,だいちのちから,18.9
